species_id,version_id,language_id,flavor_text
1,6,9,"While it is young,
it uses the
nutrients that are stored in the
seeds on its back
in order to grow."
2,6,9,"The bulb on its
back grows as it
absorbs nutrients. The bulb gives off
a pleasant aroma
when it blooms."
3,6,9,"As it warms it�
self and absorbs
the sunlight, its flower petals
release a pleasant
fragrance."
4,6,9,"If it's healthy,
the flame on the
tip of its tail will burn vigor�
ously, even if it
gets a bit wet."
5,6,9,"If it becomes
agitated during
battle, it spouts intense flames,
incinerating its
surroundings."
6,6,9,"It uses its wings
to fly high. The
temperature of its fire increases as
it gains exper�
ience in battle."
7,6,9,"When it feels
threatened, it
draws its legs inside its shell
and sprays water
from its mouth."
8,6,9,"Its long, furry
tail is a symbol
of longevity, making it quite
popular among
older people."
9,6,9,"It firmly plants
its feet on the
ground before shooting water
from the jets on
its back."
10,6,9,"It crawls into
foliage where it
camouflages itself among leaves that
are the same color
as its body."
11,6,9,"This is its pre-
evolved form. At
this stage, it can only harden, so it
remains motionless
to avoid attack."
12,6,9,"It flits from
flower to flower,
collecting honey. It can even
identify distant
flowers in bloom."
13,6,9,"The barb on top of
its head secretes
a strong poison. It uses this toxic
barb to protect
itself."
14,6,9,"Nearly incapable
of movement, it
leans against stout trees while
waiting for its
evolution."
15,6,9,"It uses sharp,
poisonous stings
to defeat prey, then takes the
victim back to its
nest for food."
16,6,9,"It rapidly flaps
its wings in the
grass, stirring up a dust butt that
drives insect prey
out into the open."
17,6,9,"It slowly flies in
a circular pat�
tern, all the while keeping a
sharp lookout for
prey."
18,6,9,"Its outstanding
vision allows it
to spot splashing MAGIKARP, even
while flying at
3300 feet."
19,6,9,"This POKeMON's
impressive vital�
ity allows it to live anywhere. It
also multiplies
very quickly."
20,6,9,"The webs on its
hind legs enable
it to cross rivers. It search�
es wide areas for
food."
21,6,9,"To protect its
territory, it
flies around ceaselessly,
making high-
pitched cries."
22,6,9,"It uses its long
beak to attack. It
has a surprisingly long reach, so it
must be treated
with caution."
23,6,9,"It flutters the
tip of its tongue
to seek out the scent of prey,
then swallows the
prey whole."
24,6,9,"To intimidate
foes, it spreads
its chest wide and makes eerie sounds
by expelling air
from its mouth."
25,6,9,"When it is anger�
ed, it immediately
discharges the energy stored in
the pouches in its
cheeks."
26,6,9,"If its electric
pouches run empty,
it raises its tail to gather electri�
city from the
atmosphere."
27,6,9,"It prefers dry,
sandy places
because it uses the sand to
protect itself
when threatened."
28,6,9,"Adept at climbing
trees, it rolls
into a spiny ball, then attacks its
enemies from
above."
29,6,9,"Small and very
docile, it pro�
tects itself with its small, poison�
ous horn when
attacked."
30,6,9,"It has a docile
nature. If it is
threatened with attack, it raises
the barbs that are
all over its body."
31,6,9,"The hard scales
that cover its
strong body serve as excellent
protection from
any attack."
32,6,9,"It constantly
moves its large
ears in many directions in
order to detect
danger right away."
33,6,9,"It is easily
agitated and uses
its horn for offense as soon as
it notices an
attacker."
34,6,9,"It uses its thick
arms, legs and
tail to attack forcefully. Melee
combat is its
specialty."
35,6,9,"Though rarely
seen, it becomes
easier to spot, for some reason,
on the night of a 
full moon."
36,6,9,"Said to live in
quiet, remote
mountains, this type of fairy has
a strong aversion
to being seen."
37,6,9,"As its body grows
larger, its six
warm tails become more beautiful,
with a more luxur�
ious coat of fur."
38,6,9,"It is said to live
a thousand years,
and each of its tails is loaded
with supernatural
powers."
39,6,9,"It rolls its cute
eyes as it sings a
soothing lullaby. Its gentle song
puts anyone who
hears it to sleep."
40,6,9,"The rich, fluffy
fur that covers
its body feels so good that anyone
who feels it can't
stop touching it."
41,6,9,"During the day, it
gathers with
others and hangs from the ceilings
of old buildings
and caves."
42,6,9,"When it plunges
its fangs into its
prey, it instantly draws and gulps
down more than ten
ounces of blood."
43,6,9,"During the day, it
stays in the cold
underground to avoid the sun.
It grows by bath�
ing in moonlight."
44,6,9,"The smell from its
drool-like syrup
and the pollen on its petals is so
bad, it may make
opponents faint."
45,6,9,"By shaking its big
petals, it scat�
ters toxic pollen into the air,
turning the air
yellow."
46,6,9,"The tochukaso
growing on this
POKeMON's back orders it to
extract juice from
tree trunks."
47,6,9,"When nothing's
left to extract
from the bug, the mushrooms on its
back leave spores
on the bug's egg."
48,6,9,"The small bugs it
eats appear only
at night, so it sleeps in a hole
in a tree until
night falls."
49,6,9,"The scales it
scatters will
paralyze anyone who touches them,
making that person
unable to stand."
50,6,9,"It digs under�
ground and chews
on tree roots, sticking its head
out only when the
sun isn't bright."
51,6,9,"These DIGLETT
triplets dig over
60 miles below sea level. No one
knows what it's
like underground."
52,6,9,"It loves things
that sparkle. When
it sees a shiny object, the gold
coin on its head
shines too."
53,6,9,"Behind its lithe,
elegant appearance
lies a barbaric side. It will tear
apart its prey on
a mere whim."
54,6,9,"The only time it
can use its psy�
chic power is when its sleeping brain
cells happen to
wake."
55,6,9,"It swims grace�
fully along on the
quiet, slow-moving rivers and lakes
of which it is so
fond."
56,6,9,"It lives in groups
in the treetops.
If it loses sight of its group, it
becomes infuriated
by its loneliness."
57,6,9,"It will beat up
anyone who makes
it mad, even if it has to chase them
until the end of
the world."
58,6,9,"It controls a big
territory. If it
detects an unknown smell, it roars
loudly to force
out the intruder."
59,6,9,"An ancient picture
scroll shows that
people were attracted to its
movement as it ran
through prairies."
60,6,9,"The swirl on its
belly is its
insides showing through the skin.
It looks clearer
after it eats."
61,6,9,"Though it is
skilled at walk�
ing, it prefers to live underwater
where there is
less danger."
62,6,9,"It can use its
well-developed
arms and legs to run on the surface
of the water for a
split second."
63,6,9,"It hypnotizes
itself so that it
can teleport away when it senses
danger, even
if it is asleep."
64,6,9,"When it closes its
eyes, twice as
many alpha parti� cles come out of
the surface of its
body."
65,6,9,"It has an IQ of
5000. It calcu�
lates many things in order to gain
the edge in every
battle."
66,6,9,"It trains by
lifting rocks in
the mountains. It can even pick up a
GRAVELER with
ease."
67,6,9,"This tough POKeMON
always stays in
the zone. Its muscles become
thicker after
every battle."
68,6,9,"With four arms
that react more
quickly than it can think, it can
execute many
punches at once."
69,6,9,"If it notices
anything that
moves, it immediately flings
its vine at the
object."
70,6,9,"When it's hungry,
it swings its
razor-sharp leaves, slicing up
any unlucky object
nearby for food."
71,6,9,"Once ingested into
this POKeMON's
body, even the hardest object
will melt into
nothing."
72,6,9,"As it floats along
on the waves, it
uses its toxic feelers to stab
anything it
touches."
73,6,9,"When its 80 feel�
ers absorb water,
it stretches to become like a net
to entangle its
prey."
74,6,9,"Proud of their
sturdy bodies,
they bash against each other in a
contest to prove
whose is harder."
75,6,9,"It travels by rol�
ling on mountain
paths. If it gains too much speed, it
stops by running
into huge rocks."
76,6,9,"Its rock-like body
is so durable,
even high-powered dynamite blasts
fail to scratch
its rugged hide."
77,6,9,"Training by
jumping over grass
that grows longer every day has made
it a world-class
jumper."
78,6,9,"It just loves to
gallop. The faster
it goes, the long� er the swaying
flames of its mane
will become."
79,6,9,"It is always so
absent-minded that
it won't react, even if its
flavorful tail is
bitten."
80,6,9,"An attached
SHELLDER won't let
go because of the tasty flavor that
oozes out of its
tail."
81,6,9,"The electricity
emitted by the
units on each side of its body cause
it to become a
strong magnet."
82,6,9,"When many
MAGNETON gather
together, the resulting magnetic
storm disrupts
radio waves."
83,6,9,"In order to pre�
vent their
extinction, more people have made
an effort to breed
these POKeMON."
84,6,9,"It lives on a
grassy plain where
it can see a long way. If it sees an
enemy, it runs
away at 60 mph."
85,6,9,"An enemy that
takes its eyes off
any of the three heads--even for a
second--will get
pecked severely."
86,6,9,"The light blue fur
that covers it
keeps it protected against the cold.
It loves iceberg-
filled oceans."
87,6,9,"It sleeps under
shallow ocean
waters during the day, then looks
for food at night
when it's cold."
88,6,9,"When two of these
POKeMON's bodies
are combined together, new
poisons are
created."
89,6,9,"As it moves, a
very strong poison
leaks from it, making the ground
there barren for
three years."
90,6,9,"Clamping on to an
opponent reveals
its vulnerable parts, so it uses
this move only as
a last resort."
91,6,9,"Even a missile
can't break the
spikes it uses to stab opponents.
They're even hard�
er than its shell."
92,6,9,"It wraps its op�
ponent in its gas-
like body, slowly weakening its prey
by poisoning it
through the skin."
93,6,9,"It hides in the
dark, planning to
take the life of the next living
thing that wanders
close by."
94,6,9,"Hiding in people's
shadows at night,
it absorbs their heat. The chill it
causes makes the
victims shake."
95,6,9,"As it digs through
the ground, it
absorbs many hard objects. This is
what makes its
body so solid."
96,6,9,"When it twitches
its nose, it can
tell where someone is sleeping and
what that person
is dreaming about."
97,6,9,"The longer it
swings its
pendulum, the longer the effects
of its hypnosis
last."
98,6,9,"If it is unable
to find food, it
will absorb nutrients by
swallowing a
mouthful of sand."
99,6,9,"Its oversized claw
is very powerful,
but when it's not in battle, the
claw just gets in
the way."
100,6,9,"During the study
of this POKeMON,
it was discovered that its compo�
nents are not
found in nature."
101,6,9,"The more energy it
charges up, the
faster it gets. But this also
makes it more
likely to explode."
102,6,9,"If even one is
separated from the
group, the energy bond between the
six will make them
rejoin instantly."
103,6,9,"Living in a good
environment makes
it grow lots of heads. A head that
drops off becomes
an EXEGGCUTE."
104,6,9,"It lost its mother
after its birth.
It wears its mother's skull,
never revealing
its true face."
105,6,9,"Somewhere in the
world is a ceme�
tery just for MAROWAK. It gets
its bones from
those graves."
106,6,9,"It is also called
the Kick Master.
It uses its elastic legs to
execute every
known kick."
107,6,9,"To increase the
strength of all
its punch moves, it spins its arms
just before making
contact."
108,6,9,"It has a tongue
that is over 6�6��
long. It uses this long tongue to
lick its body
clean."
109,6,9,"If one gets close
enough to it when
it expels poison� ous gas, the gas
swirling inside it
can be seen."
110,6,9,"When it inhales
poisonous gases
from garbage, its body expands, and
its insides smell
much worse."
111,6,9,"It can remember
only one thing at
a time. Once it starts rushing, it
forgets why it
started."
112,6,9,"By lightly spin�
ning its drill-
like horn, it can easily shatter
even a diamond in
the rough."
113,6,9,"People try to
catch it for its
extremely nutritious eggs,
but it rarely can
be found."
114,6,9,"During battle, it
constantly moves
the vines that cover its body in
order to annoy its
opponent."
115,6,9,"To avoid
crushing the
baby it carries in its pouch, it
always sleeps
standing up."
116,6,9,"When they're in a
safe location,
they can be seen playfully tangling
their tails
together."
117,6,9,"The male raises
the young. If it
is approached, it uses its toxic
spikes to fend off
the intruder."
118,6,9,"During spawning
season, they swim
gracefully in the water, searching
for their perfect
mate."
119,6,9,"When autumn comes,
the males patrol
the area around their nests in
order to protect
their offspring."
120,6,9,"When the stars
twinkle at night,
it floats up from the sea floor, and
its body's center
core flickers."
121,6,9,"It is said that it
uses the seven-
colored core of its body to send
electric waves
into outer space."
122,6,9,"It uses the
mysterious
power it has in its fingers to
solidify air into
an invisible wall."
123,6,9,"It's very proud of
its speed. It
moves so fast that its opponent does
not even know what
knocked it down."
124,6,9,"It has several
different cry pat�
terns, each of which seems to
have its own
meaning."
125,6,9,"When two
ELECTABUZZ touch,
they control the electric currents
to communicate
their feelings."
126,6,9,"It moves more
frequently in hot
areas. It can heal itself by dipping
its wound into
lava."
127,6,9,"When the tempera�
ture drops at
night, it sleeps on treetops or
among roots where
it is well hidden."
128,6,9,"These violent
POKeMON fight
with other mem� bers of their herd
in order to prove
their strength."
129,6,9,"This weak and
pathetic POKeMON
gets easily pushed along rivers when
there are strong
currents."
130,6,9,"It appears when�
ever there is
world conflict, burning down any
place it travels
through."
131,6,9,"This gentle
POKeMON loves to
give people rides and provides a ve�
ry comfortable way
to get around."
132,6,9,"When it encount�
ers another DITTO,
it will move faster than normal
to duplicate that
opponent exactly."
133,6,9,"Its ability to
evolve into many
forms allows it to adapt smoothly
and perfectly to
any environment."
134,6,9,"As it uses the
fins on the tip
of its tail to swim, it blends
with the water
perfectly."
135,6,9,"The negatively
charged ions
generated in its fur create a
constant sparking
noise."
136,6,9,"Once it has stored
up enough heat,
this POKeMON's body temperature
can reach up to
1700 degrees."
137,6,9,"An artificial
POKeMON created
due to extensive research, it can
perform only what
is in its program."
138,6,9,"In prehistoric
times, it swam on
the sea floor, eating plankton.
Its fossils are
sometimes found."
139,6,9,"Its heavy shell
allowed it to
reach only nearby food. This could
be the reason it
is extinct."
140,6,9,"Three hundred
million years ago,
it hid on the sea floor. It also has
eyes on its back
that glow."
141,6,9,"It was able to
swim quickly thro�
ugh the water by compactly folding
up its razor-sharp
sickles."
142,6,9,"In prehistoric
times, this
POKeMON flew freely and
fearlessly through
the skies."
143,6,9,"This POKeMON's
stomach is so
strong, even eating moldy or
rotten food will
not affect it."
144,6,9,"Legendary bird
POKeMON. As it
flies through the sky, it cools the
air, causing snow
to fall."
145,6,9,"Legendary bird
POKeMON. They say
lightning caused by the flapping of
its wings causes
summer storms."
146,6,9,"Legendary bird
POKeMON. It is
said to migrate from the south
along with the
spring."
147,6,9,"It sheds many lay�
ers of skin as it
grows larger. Dur� ing this process,
it is protected by
a rapid waterfall."
148,6,9,"It is called the
divine POKeMON.
When its entire body brightens
slightly, the
weather changes."
149,6,9,"It is said that
somewhere in the
ocean lies an island where these
gather. Only they
live there."
150,6,9,"Said to rest qui�
etly in an
undiscovered cave, this POKeMON was
created solely for
battling."
151,6,9,"Because it can
learn any move,
some people began research to see if
it is the ancestor
of all POKeMON."
152,6,9,"It loves to bask
in the sunlight.
It uses the leaf on its head to
seek out warm
places."
153,6,9,"The scent that
wafts from the
leaves on its neck causes anyone who
smells it to
become energetic."
154,6,9,"Anyone who stands
beside it becomes
refreshed, just as if they were
relaxing in a
sunny forest."
155,6,9,"The fire that
spouts from its
back burns hottest when it is angry.
The flaring flames
intimidate foes."
156,6,9,"Before battle, it
turns its back on
its opponent to demonstrate how
ferociously its
fire blazes."
157,6,9,"When heat from its
body causes the
air around it to shimmer, this is a
sign that it is
ready to battle."
158,6,9,"This rough critter
chomps at any
moving object it sees. Turning your
back on it is not
recommended."
159,6,9,"The tips of its
fangs are slanted
backward. Once those fangs clamp
down, the prey has
no hope of escape."
160,6,9,"Although it has a
massive body, its
powerful hind legs enable it to move
quickly, even on
the ground."
161,6,9,"When acting as a
lookout, it warns
others of danger by screeching and
hitting the ground
with its tail."
162,6,9,"It lives in narrow
burrows that fit
its slim body. The deeper the nests
go, the more maze�
like they become."
163,6,9,"It begins to hoot
at the same time
every day. Some trainers use them
in place of
clocks."
164,6,9,"Its extremely soft
feathers make no
sound in flight. It silently sneaks
up on prey without
being detected."
